"Town","FIPS","Year","Age Range","Insurance Status","Measure Type","Variable","Value"
"Andover","0901301080","2014-2018","65+","With Private Health Insurance","Percent","Margins of Error",21.7
"Andover","0901301080","2014-2018","65+","With Public Health Insurance","Number","Health Insurance",396
"Andover","0901301080","2014-2018","65+","With Public Health Insurance","Number","Margins of Error",73
"Andover","0901301080","2014-2018","65+","With Public Health Insurance","Percent","Health Insurance",97.8
"Andover","0901301080","2014-2018","65+","With Public Health Insurance","Percent","Margins of Error",25.4
"Andover","0901301080","2014-2018","65+","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2014-2018","65+","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2014-2018","65+","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2014-2018","65+","Without Health Insurance","Percent","Margins of Error",5.9
"Andover","0901301080","2015-2019","All","With Private Health Insurance","Number","Health Insurance",2836
"Andover","0901301080","2015-2019","All","With Private Health Insurance","Number","Margins of Error",275
"Andover","0901301080","2015-2019","All","With Private Health Insurance","Percent","Health Insurance",88.5
"Andover","0901301080","2015-2019","All","With Private Health Insurance","Percent","Margins of Error",9.3
"Andover","0901301080","2015-2019","All","With Public Health Insurance","Number","Health Insurance",675
"Andover","0901301080","2015-2019","All","With Public Health Insurance","Number","Margins of Error",118
"Andover","0901301080","2015-2019","All","With Public Health Insurance","Percent","Health Insurance",21.1
"Andover","0901301080","2015-2019","All","With Public Health Insurance","Percent","Margins of Error",3.8
"Andover","0901301080","2015-2019","All","Without Health Insurance","Number","Health Insurance",103
"Andover","0901301080","2015-2019","All","Without Health Insurance","Number","Margins of Error",77
"Andover","0901301080","2015-2019","All","Without Health Insurance","Percent","Health Insurance",3.2
"Andover","0901301080","2015-2019","All","Without Health Insurance","Percent","Margins of Error",2.4
"Andover","0901301080","2015-2019","Under 18","With Private Health Insurance","Number","Health Insurance",684
"Andover","0901301080","2015-2019","Under 18","With Private Health Insurance","Number","Margins of Error",160
"Andover","0901301080","2015-2019","Under 18","With Private Health Insurance","Percent","Health Insurance",92.6
"Andover","0901301080","2015-2019","Under 18","With Private Health Insurance","Percent","Margins of Error",29.7
"Andover","0901301080","2015-2019","Under 18","With Public Health Insurance","Number","Health Insurance",88
"Andover","0901301080","2015-2019","Under 18","With Public Health Insurance","Number","Margins of Error",58
"Andover","0901301080","2015-2019","Under 18","With Public Health Insurance","Percent","Health Insurance",11.9
"Andover","0901301080","2015-2019","Under 18","With Public Health Insurance","Percent","Margins of Error",8.3
"Andover","0901301080","2015-2019","Under 18","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2015-2019","Under 18","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2015-2019","Under 18","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2015-2019","Under 18","Without Health Insurance","Percent","Margins of Error",3.2
"Andover","0901301080","2015-2019","18-64","With Private Health Insurance","Number","Health Insurance",1810
"Andover","0901301080","2015-2019","18-64","With Private Health Insurance","Number","Margins of Error",211
"Andover","0901301080","2015-2019","18-64","With Private Health Insurance","Percent","Health Insurance",90.1
"Andover","0901301080","2015-2019","18-64","With Private Health Insurance","Percent","Margins of Error",14.3
"Andover","0901301080","2015-2019","18-64","With Public Health Insurance","Number","Health Insurance",142
"Andover","0901301080","2015-2019","18-64","With Public Health Insurance","Number","Margins of Error",63
"Andover","0901301080","2015-2019","18-64","With Public Health Insurance","Percent","Health Insurance",7.1
"Andover","0901301080","2015-2019","18-64","With Public Health Insurance","Percent","Margins of Error",3.2
"Andover","0901301080","2015-2019","18-64","Without Health Insurance","Number","Health Insurance",103
"Andover","0901301080","2015-2019","18-64","Without Health Insurance","Number","Margins of Error",69
"Andover","0901301080","2015-2019","18-64","Without Health Insurance","Percent","Health Insurance",5.1
"Andover","0901301080","2015-2019","18-64","Without Health Insurance","Percent","Margins of Error",3.5
"Andover","0901301080","2015-2019","65+","With Private Health Insurance","Number","Health Insurance",342
"Andover","0901301080","2015-2019","65+","With Private Health Insurance","Number","Margins of Error",75
"Andover","0901301080","2015-2019","65+","With Private Health Insurance","Percent","Health Insurance",75.2
"Andover","0901301080","2015-2019","65+","With Private Health Insurance","Percent","Margins of Error",21.3
"Andover","0901301080","2015-2019","65+","With Public Health Insurance","Number","Health Insurance",445
"Andover","0901301080","2015-2019","65+","With Public Health Insurance","Number","Margins of Error",81
"Andover","0901301080","2015-2019","65+","With Public Health Insurance","Percent","Health Insurance",97.8
"Andover","0901301080","2015-2019","65+","With Public Health Insurance","Percent","Margins of Error",24.9
"Andover","0901301080","2015-2019","65+","Without Health Insurance","Number","Health Insurance",0
"Andover","0901301080","2015-2019","65+","Without Health Insurance","Number","Margins of Error",24
"Andover","0901301080","2015-2019","65+","Without Health Insurance","Percent","Health Insurance",0
"Andover","0901301080","2015-2019","65+","Without Health Insurance","Percent","Margins of Error",5.3
"Ansonia","0900901220","2008-2012","All","With Private Health Insurance","Number","Health Insurance",11859
"Ansonia","0900901220","2008-2012","All","With Private Health Insurance","Number","Margins of Error",777
"Ansonia","0900901220","2008-2012","All","With Private Health Insurance","Percent","Health Insurance",62.1
"Ansonia","0900901220","2008-2012","All","With Private Health Insurance","Percent","Margins of Error",4.1
"Ansonia","0900901220","2008-2012","All","With Public Health Insurance","Number","Health Insurance",6883
"Ansonia","0900901220","2008-2012","All","With Public Health Insurance","Number","Margins of Error",712
"Ansonia","0900901220","2008-2012","All","With Public Health Insurance","Percent","Health Insurance",36
"Ansonia","0900901220","2008-2012","All","With Public Health Insurance","Percent","Margins of Error",3.7
"Ansonia","0900901220","2008-2012","All","Without Health Insurance","Number","Health Insurance",2631
"Ansonia","0900901220","2008-2012","All","Without Health Insurance","Number","Margins of Error",494
"Ansonia","0900901220","2008-2012","All","Without Health Insurance","Percent","Health Insurance",13.8
"Ansonia","0900901220","2008-2012","All","Without Health Insurance","Percent","Margins of Error",2.6
"Ansonia","0900901220","2008-2012","Under 18","With Private Health Insurance","Number","Health Insurance",2304
"Ansonia","0900901220","2008-2012","Under 18","With Private Health Insurance","Number","Margins of Error",395
"Ansonia","0900901220","2008-2012","Under 18","With Private Health Insurance","Percent","Health Insurance",50.9
"Ansonia","0900901220","2008-2012","Under 18","With Private Health Insurance","Percent","Margins of Error",4.8
"Ansonia","0900901220","2008-2012","Under 18","With Public Health Insurance","Number","Health Insurance",2072
"Ansonia","0900901220","2008-2012","Under 18","With Public Health Insurance","Number","Margins of Error",510
"Ansonia","0900901220","2008-2012","Under 18","With Public Health Insurance","Percent","Health Insurance",45.8
"Ansonia","0900901220","2008-2012","Under 18","With Public Health Insurance","Percent","Margins of Error",9.2
"Ansonia","0900901220","2008-2012","Under 18","Without Health Insurance","Number","Health Insurance",370
"Ansonia","0900901220","2008-2012","Under 18","Without Health Insurance","Number","Margins of Error",253
"Ansonia","0900901220","2008-2012","Under 18","Without Health Insurance","Percent","Health Insurance",8.2
"Ansonia","0900901220","2008-2012","Under 18","Without Health Insurance","Percent","Margins of Error",5.5
"Ansonia","0900901220","2008-2012","18-64","With Private Health Insurance","Number","Health Insurance",7800
"Ansonia","0900901220","2008-2012","18-64","With Private Health Insurance","Number","Margins of Error",620
"Ansonia","0900901220","2008-2012","18-64","With Private Health Insurance","Percent","Health Insurance",65
"Ansonia","0900901220","2008-2012","18-64","With Private Health Insurance","Percent","Margins of Error",2.9
"Ansonia","0900901220","2008-2012","18-64","With Public Health Insurance","Number","Health Insurance",2310
"Ansonia","0900901220","2008-2012","18-64","With Public Health Insurance","Number","Margins of Error",411
"Ansonia","0900901220","2008-2012","18-64","With Public Health Insurance","Percent","Health Insurance",19.2
"Ansonia","0900901220","2008-2012","18-64","With Public Health Insurance","Percent","Margins of Error",3.2
"Ansonia","0900901220","2008-2012","18-64","Without Health Insurance","Number","Health Insurance",2261
"Ansonia","0900901220","2008-2012","18-64","Without Health Insurance","Number","Margins of Error",423
"Ansonia","0900901220","2008-2012","18-64","Without Health Insurance","Percent","Health Insurance",18.8
"Ansonia","0900901220","2008-2012","18-64","Without Health Insurance","Percent","Margins of Error",3.3
"Ansonia","0900901220","2008-2012","65+","With Private Health Insurance","Number","Health Insurance",1755
"Ansonia","0900901220","2008-2012","65+","With Private Health Insurance","Number","Margins of Error",252
"Ansonia","0900901220","2008-2012","65+","With Private Health Insurance","Percent","Health Insurance",67.9
"Ansonia","0900901220","2008-2012","65+","With Private Health Insurance","Percent","Margins of Error",6.3
"Ansonia","0900901220","2008-2012","65+","With Public Health Insurance","Number","Health Insurance",2501
"Ansonia","0900901220","2008-2012","65+","With Public Health Insurance","Number","Margins of Error",278
"Ansonia","0900901220","2008-2012","65+","With Public Health Insurance","Percent","Health Insurance",96.8
"Ansonia","0900901220","2008-2012","65+","With Public Health Insurance","Percent","Margins of Error",1.8
"Ansonia","0900901220","2008-2012","65+","Without Health Insurance","Number","Health Insurance",0
"Ansonia","0900901220","2008-2012","65+","Without Health Insurance","Number","Margins of Error",38
"Ansonia","0900901220","2008-2012","65+","Without Health Insurance","Percent","Health Insurance",0
"Ansonia","0900901220","2008-2012","65+","Without Health Insurance","Percent","Margins of Error",1.5
"Ansonia","0900901220","2009-2013","All","With Private Health Insurance","Number","Health Insurance",11807
"Ansonia","0900901220","2009-2013","All","With Private Health Insurance","Number","Margins of Error",751
"Ansonia","0900901220","2009-2013","All","With Private Health Insurance","Percent","Health Insurance",61.9
"Ansonia","0900901220","2009-2013","All","With Private Health Insurance","Percent","Margins of Error",3.9
"Ansonia","0900901220","2009-2013","All","With Public Health Insurance","Number","Health Insurance",7325
"Ansonia","0900901220","2009-2013","All","With Public Health Insurance","Number","Margins of Error",727
"Ansonia","0900901220","2009-2013","All","With Public Health Insurance","Percent","Health Insurance",38.4
"Ansonia","0900901220","2009-2013","All","With Public Health Insurance","Percent","Margins of Error",3.8
"Ansonia","0900901220","2009-2013","All","Without Health Insurance","Number","Health Insurance",2209
"Ansonia","0900901220","2009-2013","All","Without Health Insurance","Number","Margins of Error",447
"Ansonia","0900901220","2009-2013","All","Without Health Insurance","Percent","Health Insurance",11.6
"Ansonia","0900901220","2009-2013","All","Without Health Insurance","Percent","Margins of Error",2.3
"Ansonia","0900901220","2009-2013","Under 18","With Private Health Insurance","Number","Health Insurance",2419
"Ansonia","0900901220","2009-2013","Under 18","With Private Health Insurance","Number","Margins of Error",432
"Ansonia","0900901220","2009-2013","Under 18","With Private Health Insurance","Percent","Health Insurance",56.1
"Ansonia","0900901220","2009-2013","Under 18","With Private Health Insurance","Percent","Margins of Error",6.4
"Ansonia","0900901220","2009-2013","Under 18","With Public Health Insurance","Number","Health Insurance",2058
"Ansonia","0900901220","2009-2013","Under 18","With Public Health Insurance","Number","Margins of Error",501
"Ansonia","0900901220","2009-2013","Under 18","With Public Health Insurance","Percent","Health Insurance",47.7
"Ansonia","0900901220","2009-2013","Under 18","With Public Health Insurance","Percent","Margins of Error",9.6
"Ansonia","0900901220","2009-2013","Under 18","Without Health Insurance","Number","Health Insurance",126
"Ansonia","0900901220","2009-2013","Under 18","Without Health Insurance","Number","Margins of Error",96
"Ansonia","0900901220","2009-2013","Under 18","Without Health Insurance","Percent","Health Insurance",2.9
"Ansonia","0900901220","2009-2013","Under 18","Without Health Insurance","Percent","Margins of Error",2.2
"Ansonia","0900901220","2009-2013","18-64","With Private Health Insurance","Number","Health Insurance",7679
"Ansonia","0900901220","2009-2013","18-64","With Private Health Insurance","Number","Margins of Error",565
"Ansonia","0900901220","2009-2013","18-64","With Private Health Insurance","Percent","Health Insurance",63.1
"Ansonia","0900901220","2009-2013","18-64","With Private Health Insurance","Percent","Margins of Error",2.2
"Ansonia","0900901220","2009-2013","18-64","With Public Health Insurance","Number","Health Insurance",2748
"Ansonia","0900901220","2009-2013","18-64","With Public Health Insurance","Number","Margins of Error",436
"Ansonia","0900901220","2009-2013","18-64","With Public Health Insurance","Percent","Health Insurance",22.6
"Ansonia","0900901220","2009-2013","18-64","With Public Health Insurance","Percent","Margins of Error",3.3
"Ansonia","0900901220","2009-2013","18-64","Without Health Insurance","Number","Health Insurance",2083
"Ansonia","0900901220","2009-2013","18-64","Without Health Insurance","Number","Margins of Error",435
"Ansonia","0900901220","2009-2013","18-64","Without Health Insurance","Percent","Health Insurance",17.1
"Ansonia","0900901220","2009-2013","18-64","Without Health Insurance","Percent","Margins of Error",3.4
"Ansonia","0900901220","2009-2013","65+","With Private Health Insurance","Number","Health Insurance",1709
"Ansonia","0900901220","2009-2013","65+","With Private Health Insurance","Number","Margins of Error",243
"Ansonia","0900901220","2009-2013","65+","With Private Health Insurance","Percent","Health Insurance",65.7
"Ansonia","0900901220","2009-2013","65+","With Private Health Insurance","Percent","Margins of Error",5.3
"Ansonia","0900901220","2009-2013","65+","With Public Health Insurance","Number","Health Insurance",2519
"Ansonia","0900901220","2009-2013","65+","With Public Health Insurance","Number","Margins of Error",296
"Ansonia","0900901220","2009-2013","65+","With Public Health Insurance","Percent","Health Insurance",96.8
"Ansonia","0900901220","2009-2013","65+","With Public Health Insurance","Percent","Margins of Error",1.2
"Ansonia","0900901220","2009-2013","65+","Without Health Insurance","Number","Health Insurance",0
"Ansonia","0900901220","2009-2013","65+","Without Health Insurance","Number","Margins of Error",38
"Ansonia","0900901220","2009-2013","65+","Without Health Insurance","Percent","Health Insurance",0
"Ansonia","0900901220","2009-2013","65+","Without Health Insurance","Percent","Margins of Error",1.5
"Ansonia","0900901220","2010-2014","All","With Private Health Insurance","Number","Health Insurance",11607
"Ansonia","0900901220","2010-2014","All","With Private Health Insurance","Number","Margins of Error",731
"Ansonia","0900901220","2010-2014","All","With Private Health Insurance","Percent","Health Insurance",61
"Ansonia","0900901220","2010-2014","All","With Private Health Insurance","Percent","Margins of Error",3.8
"Ansonia","0900901220","2010-2014","All","With Public Health Insurance","Number","Health Insurance",7735
"Ansonia","0900901220","2010-2014","All","With Public Health Insurance","Number","Margins of Error",688
"Ansonia","0900901220","2010-2014","All","With Public Health Insurance","Percent","Health Insurance",40.6
"Ansonia","0900901220","2010-2014","All","With Public Health Insurance","Percent","Margins of Error",3.6
"Ansonia","0900901220","2010-2014","All","Without Health Insurance","Number","Health Insurance",1869
"Ansonia","0900901220","2010-2014","All","Without Health Insurance","Number","Margins of Error",408
"Ansonia","0900901220","2010-2014","All","Without Health Insurance","Percent","Health Insurance",9.8
"Ansonia","0900901220","2010-2014","All","Without Health Insurance","Percent","Margins of Error",2.1
"Ansonia","0900901220","2010-2014","Under 18","With Private Health Insurance","Number","Health Insurance",2422
"Ansonia","0900901220","2010-2014","Under 18","With Private Health Insurance","Number","Margins of Error",411
"Ansonia","0900901220","2010-2014","Under 18","With Private Health Insurance","Percent","Health Insurance",55.6
"Ansonia","0900901220","2010-2014","Under 18","With Private Health Insurance","Percent","Margins of Error",6.6
"Ansonia","0900901220","2010-2014","Under 18","With Public Health Insurance","Number","Health Insurance",2105
"Ansonia","0900901220","2010-2014","Under 18","With Public Health Insurance","Number","Margins of Error",418
"Ansonia","0900901220","2010-2014","Under 18","With Public Health Insurance","Percent","Health Insurance",48.3
"Ansonia","0900901220","2010-2014","Under 18","With Public Health Insurance","Percent","Margins of Error",7.6
"Ansonia","0900901220","2010-2014","Under 18","Without Health Insurance","Number","Health Insurance",103
"Ansonia","0900901220","2010-2014","Under 18","Without Health Insurance","Number","Margins of Error",72
"Ansonia","0900901220","2010-2014","Under 18","Without Health Insurance","Percent","Health Insurance",2.4
"Ansonia","0900901220","2010-2014","Under 18","Without Health Insurance","Percent","Margins of Error",1.6
"Ansonia","0900901220","2010-2014","18-64","With Private Health Insurance","Number","Health Insurance",7644
"Ansonia","0900901220","2010-2014","18-64","With Private Health Insurance","Number","Margins of Error",555
"Ansonia","0900901220","2010-2014","18-64","With Private Health Insurance","Percent","Health Insurance",63.3
"Ansonia","0900901220","2010-2014","18-64","With Private Health Insurance","Percent","Margins of Error",2.4
"Ansonia","0900901220","2010-2014","18-64","With Public Health Insurance","Number","Health Insurance",3082
"Ansonia","0900901220","2010-2014","18-64","With Public Health Insurance","Number","Margins of Error",456
"Ansonia","0900901220","2010-2014","18-64","With Public Health Insurance","Percent","Health Insurance",25.5
"Ansonia","0900901220","2010-2014","18-64","With Public Health Insurance","Percent","Margins of Error",3.4
"Ansonia","0900901220","2010-2014","18-64","Without Health Insurance","Number","Health Insurance",1766
"Ansonia","0900901220","2010-2014","18-64","Without Health Insurance","Number","Margins of Error",399
"Ansonia","0900901220","2010-2014","18-64","Without Health Insurance","Percent","Health Insurance",14.6
"Ansonia","0900901220","2010-2014","18-64","Without Health Insurance","Percent","Margins of Error",3.2
"Ansonia","0900901220","2010-2014","65+","With Private Health Insurance","Number","Health Insurance",1541
"Ansonia","0900901220","2010-2014","65+","With Private Health Insurance","Number","Margins of Error",239
"Ansonia","0900901220","2010-2014","65+","With Private Health Insurance","Percent","Health Insurance",59
"Ansonia","0900901220","2010-2014","65+","With Private Health Insurance","Percent","Margins of Error",5.9
"Ansonia","0900901220","2010-2014","65+","With Public Health Insurance","Number","Health Insurance",2548
"Ansonia","0900901220","2010-2014","65+","With Public Health Insurance","Number","Margins of Error",301
"Ansonia","0900901220","2010-2014","65+","With Public Health Insurance","Percent","Health Insurance",97.5
"Ansonia","0900901220","2010-2014","65+","With Public Health Insurance","Percent","Margins of Error",0.6
"Ansonia","0900901220","2010-2014","65+","Without Health Insurance","Number","Health Insurance",0
"Ansonia","0900901220","2010-2014","65+","Without Health Insurance","Number","Margins of Error",38
"Ansonia","0900901220","2010-2014","65+","Without Health Insurance","Percent","Health Insurance",0
"Ansonia","0900901220","2010-2014","65+","Without Health Insurance","Percent","Margins of Error",1.5
"Ansonia","0900901220","2011-2015","All","With Private Health Insurance","Number","Health Insurance",11498
"Ansonia","0900901220","2011-2015","All","With Private Health Insurance","Number","Margins of Error",703
"Ansonia","0900901220","2011-2015","All","With Private Health Insurance","Percent","Health Insurance",60.6
"Ansonia","0900901220","2011-2015","All","With Private Health Insurance","Percent","Margins of Error",3.7
"Ansonia","0900901220","2011-2015","All","With Public Health Insurance","Number","Health Insurance",8352
"Ansonia","0900901220","2011-2015","All","With Public Health Insurance","Number","Margins of Error",696
"Ansonia","0900901220","2011-2015","All","With Public Health Insurance","Percent","Health Insurance",44.1
"Ansonia","0900901220","2011-2015","All","With Public Health Insurance","Percent","Margins of Error",3.7
"Ansonia","0900901220","2011-2015","All","Without Health Insurance","Number","Health Insurance",1411
"Ansonia","0900901220","2011-2015","All","Without Health Insurance","Number","Margins of Error",316
"Ansonia","0900901220","2011-2015","All","Without Health Insurance","Percent","Health Insurance",7.4
"Ansonia","0900901220","2011-2015","All","Without Health Insurance","Percent","Margins of Error",1.7
"Ansonia","0900901220","2011-2015","Under 18","With Private Health Insurance","Number","Health Insurance",2222
"Ansonia","0900901220","2011-2015","Under 18","With Private Health Insurance","Number","Margins of Error",384
"Ansonia","0900901220","2011-2015","Under 18","With Private Health Insurance","Percent","Health Insurance",50.5
"Ansonia","0900901220","2011-2015","Under 18","With Private Health Insurance","Percent","Margins of Error",10.5
"Ansonia","0900901220","2011-2015","Under 18","With Public Health Insurance","Number","Health Insurance",2366
"Ansonia","0900901220","2011-2015","Under 18","With Public Health Insurance","Number","Margins of Error",433
"Ansonia","0900901220","2011-2015","Under 18","With Public Health Insurance","Percent","Health Insurance",53.8
"Ansonia","0900901220","2011-2015","Under 18","With Public Health Insurance","Percent","Margins of Error",11.7
"Ansonia","0900901220","2011-2015","Under 18","Without Health Insurance","Number","Health Insurance",129
"Ansonia","0900901220","2011-2015","Under 18","Without Health Insurance","Number","Margins of Error",80
"Ansonia","0900901220","2011-2015","Under 18","Without Health Insurance","Percent","Health Insurance",2.9
"Ansonia","0900901220","2011-2015","Under 18","Without Health Insurance","Percent","Margins of Error",1.9
"Ansonia","0900901220","2011-2015","18-64","With Private Health Insurance","Number","Health Insurance",7677
"Ansonia","0900901220","2011-2015","18-64","With Private Health Insurance","Number","Margins of Error",539
"Ansonia","0900901220","2011-2015","18-64","With Private Health Insurance","Percent","Health Insurance",64.8
"Ansonia","0900901220","2011-2015","18-64","With Private Health Insurance","Percent","Margins of Error",6
"Ansonia","0900901220","2011-2015","18-64","With Public Health Insurance","Number","Health Insurance",3351
"Ansonia","0900901220","2011-2015","18-64","With Public Health Insurance","Number","Margins of Error",466
"Ansonia","0900901220","2011-2015","18-64","With Public Health Insurance","Percent","Health Insurance",28.3
"Ansonia","0900901220","2011-2015","18-64","With Public Health Insurance","Percent","Margins of Error",4.3
"Ansonia","0900901220","2011-2015","18-64","Without Health Insurance","Number","Health Insurance",1282
"Ansonia","0900901220","2011-2015","18-64","Without Health Insurance","Number","Margins of Error",303
"Ansonia","0900901220","2011-2015","18-64","Without Health Insurance","Percent","Health Insurance",10.8
"Ansonia","0900901220","2011-2015","18-64","Without Health Insurance","Percent","Margins of Error",2.6
"Ansonia","0900901220","2011-2015","65+","With Private Health Insurance","Number","Health Insurance",1599
"Ansonia","0900901220","2011-2015","65+","With Private Health Insurance","Number","Margins of Error",237
"Ansonia","0900901220","2011-2015","65+","With Private Health Insurance","Percent","Health Insurance",59
"Ansonia","0900901220","2011-2015","65+","With Private Health Insurance","Percent","Margins of Error",10.7
"Ansonia","0900901220","2011-2015","65+","With Public Health Insurance","Number","Health Insurance",2635
"Ansonia","0900901220","2011-2015","65+","With Public Health Insurance","Number","Margins of Error",282
"Ansonia","0900901220","2011-2015","65+","With Public Health Insurance","Percent","Health Insurance",97.2
"Ansonia","0900901220","2011-2015","65+","With Public Health Insurance","Percent","Margins of Error",14.6
"Ansonia","0900901220","2011-2015","65+","Without Health Insurance","Number","Health Insurance",0
"Ansonia","0900901220","2011-2015","65+","Without Health Insurance","Number","Margins of Error",38
"Ansonia","0900901220","2011-2015","65+","Without Health Insurance","Percent","Health Insurance",0
"Ansonia","0900901220","2011-2015","65+","Without Health Insurance","Percent","Margins of Error",1.4
"Ansonia","0900901220","2012-2016","All","With Private Health Insurance","Number","Health Insurance",10840
"Ansonia","0900901220","2012-2016","All","With Private Health Insurance","Number","Margins of Error",739
"Ansonia","0900901220","2012-2016","All","With Private Health Insurance","Percent","Health Insurance",57.4
"Ansonia","0900901220","2012-2016","All","With Private Health Insurance","Percent","Margins of Error",3.9
"Ansonia","0900901220","2012-2016","All","With Public Health Insurance","Number","Health Insurance",8477
"Ansonia","0900901220","2012-2016","All","With Public Health Insurance","Number","Margins of Error",759
"Ansonia","0900901220","2012-2016","All","With Public Health Insurance","Percent","Health Insurance",44.9
"Ansonia","0900901220","2012-2016","All","With Public Health Insurance","Percent","Margins of Error",4
"Ansonia","0900901220","2012-2016","All","Without Health Insurance","Number","Health Insurance",1557
"Ansonia","0900901220","2012-2016","All","Without Health Insurance","Number","Margins of Error",349
"Ansonia","0900901220","2012-2016","All","Without Health Insurance","Percent","Health Insurance",8.2
"Ansonia","0900901220","2012-2016","All","Without Health Insurance","Percent","Margins of Error",1.8
"Ansonia","0900901220","2012-2016","Under 18","With Private Health Insurance","Number","Health Insurance",2127
"Ansonia","0900901220","2012-2016","Under 18","With Private Health Insurance","Number","Margins of Error",402
"Ansonia","0900901220","2012-2016","Under 18","With Private Health Insurance","Percent","Health Insurance",50.3
"Ansonia","0900901220","2012-2016","Under 18","With Private Health Insurance","Percent","Margins of Error",11.6
"Ansonia","0900901220","2012-2016","Under 18","With Public Health Insurance","Number","Health Insurance",2227
"Ansonia","0900901220","2012-2016","Under 18","With Public Health Insurance","Number","Margins of Error",478
"Ansonia","0900901220","2012-2016","Under 18","With Public Health Insurance","Percent","Health Insurance",52.6
"Ansonia","0900901220","2012-2016","Under 18","With Public Health Insurance","Percent","Margins of Error",13.3
"Ansonia","0900901220","2012-2016","Under 18","Without Health Insurance","Number","Health Insurance",106
"Ansonia","0900901220","2012-2016","Under 18","Without Health Insurance","Number","Margins of Error",70
"Ansonia","0900901220","2012-2016","Under 18","Without Health Insurance","Percent","Health Insurance",2.5
"Ansonia","0900901220","2012-2016","Under 18","Without Health Insurance","Percent","Margins of Error",1.7
"Ansonia","0900901220","2012-2016","18-64","With Private Health Insurance","Number","Health Insurance",7185
"Ansonia","0900901220","2012-2016","18-64","With Private Health Insurance","Number","Margins of Error",577
"Ansonia","0900901220","2012-2016","18-64","With Private Health Insurance","Percent","Health Insurance",60.2
"Ansonia","0900901220","2012-2016","18-64","With Private Health Insurance","Percent","Margins of Error",6.2
"Ansonia","0900901220","2012-2016","18-64","With Public Health Insurance","Number","Health Insurance",3622
"Ansonia","0900901220","2012-2016","18-64","With Public Health Insurance","Number","Margins of Error",502
"Ansonia","0900901220","2012-2016","18-64","With Public Health Insurance","Percent","Health Insurance",30.4
"Ansonia","0900901220","2012-2016","18-64","With Public Health Insurance","Percent","Margins of Error",4.6
"Ansonia","0900901220","2012-2016","18-64","Without Health Insurance","Number","Health Insurance",1451
"Ansonia","0900901220","2012-2016","18-64","Without Health Insurance","Number","Margins of Error",339
"Ansonia","0900901220","2012-2016","18-64","Without Health Insurance","Percent","Health Insurance",12.2
"Ansonia","0900901220","2012-2016","18-64","Without Health Insurance","Percent","Margins of Error",3
"Ansonia","0900901220","2012-2016","65+","With Private Health Insurance","Number","Health Insurance",1528
"Ansonia","0900901220","2012-2016","65+","With Private Health Insurance","Number","Margins of Error",228
"Ansonia","0900901220","2012-2016","65+","With Private Health Insurance","Percent","Health Insurance",56
"Ansonia","0900901220","2012-2016","65+","With Private Health Insurance","Percent","Margins of Error",10.5
"Ansonia","0900901220","2012-2016","65+","With Public Health Insurance","Number","Health Insurance",2628
"Ansonia","0900901220","2012-2016","65+","With Public Health Insurance","Number","Margins of Error",310
"Ansonia","0900901220","2012-2016","65+","With Public Health Insurance","Percent","Health Insurance",96.3
"Ansonia","0900901220","2012-2016","65+","With Public Health Insurance","Percent","Margins of Error",15.8
"Ansonia","0900901220","2012-2016","65+","Without Health Insurance","Number","Health Insurance",0
"Ansonia","0900901220","2012-2016","65+","Without Health Insurance","Number","Margins of Error",38
"Ansonia","0900901220","2012-2016","65+","Without Health Insurance","Percent","Health Insurance",0
"Ansonia","0900901220","2012-2016","65+","Without Health Insurance","Percent","Margins of Error",1.4
"Ansonia","0900901220","2013-2017","All","With Private Health Insurance","Number","Health Insurance",11721
"Ansonia","0900901220","2013-2017","All","With Private Health Insurance","Number","Margins of Error",815
"Ansonia","0900901220","2013-2017","All","With Private Health Insurance","Percent","Health Insurance",62
"Ansonia","0900901220","2013-2017","All","With Private Health Insurance","Percent","Margins of Error",4.3
"Ansonia","0900901220","2013-2017","All","With Public Health Insurance","Number","Health Insurance",8465
"Ansonia","0900901220","2013-2017","All","With Public Health Insurance","Number","Margins of Error",785
"Ansonia","0900901220","2013-2017","All","With Public Health Insurance","Percent","Health Insurance",44.8
"Ansonia","0900901220","2013-2017","All","With Public Health Insurance","Percent","Margins of Error",4.2
"Ansonia","0900901220","2013-2017","All","Without Health Insurance","Number","Health Insurance",942
"Ansonia","0900901220","2013-2017","All","Without Health Insurance","Number","Margins of Error",266
"Ansonia","0900901220","2013-2017","All","Without Health Insurance","Percent","Health Insurance",5
"Ansonia","0900901220","2013-2017","All","Without Health Insurance","Percent","Margins of Error",1.4
"Ansonia","0900901220","2013-2017","Under 18","With Private Health Insurance","Number","Health Insurance",2576
"Ansonia","0900901220","2013-2017","Under 18","With Private Health Insurance","Number","Margins of Error",498
"Ansonia","0900901220","2013-2017","Under 18","With Private Health Insurance","Percent","Health Insurance",56.1
"Ansonia","0900901220","2013-2017","Under 18","With Private Health Insurance","Percent","Margins of Error",13.2
"Ansonia","0900901220","2013-2017","Under 18","With Public Health Insurance","Number","Health Insurance",2235
"Ansonia","0900901220","2013-2017","Under 18","With Public Health Insurance","Number","Margins of Error",535
